make,model,year,mileage_km,engine_cc,fuel_type,transmission,body_type,city,price_pkr
Suzuki,Ravi,2018,117955.0,800,Petrol,Manual,Pickup,Hyderabad,872000
Changan,Alsvin,2005,294961.0,1400,CNG,Manual,Sedan,Islamabad,583000
Suzuki,Margalla,2016,92437.0,1300,Petrol,Automatic,Sedan,Multan,1854000
Daihatsu,Mira,2014,179270.0,660,CNG,Manual,Hatchback,Karachi,846000
Honda,Vezel,2014,154473.0,1500,Hybrid,Automatic,Hybrid,Quetta,1896000
Honda,Vezel,2004,,1500,Hybrid,Automatic,Hybrid,Rawalpindi,924000
Suzuki,WagonR,2010,217308.0,1000,CNG,Manual,Hatchback,Multan,801000
Hyundai,Sonata,2019,109637.0,2000,CNG,Automatic,Sedan,Quetta,5096000
Kia,Stonic,2011,181652.0,1400,Petrol,Automatic,SUV,Karachi,1316000
Toyota,LandCruiser,2017,112011.0,3300,Petrol,Automatic,SUV,Sialkot,21455000
Honda,BRV,2011,202437.0,1500,Diesel,Manual,SUV,Sialkot,1635000
Honda,City,2020,85912.0,1500,Petrol,Manual,Sedan,Hyderabad,3633000
Honda,Accord,2009,212430.0,2400,Petrol,Automatic,Sedan,Sialkot,828000
Daihatsu,Move,2019,130398.0,660,Petrol,Manual,Hatchback,Karachi,1322000
MG,HS,2009,260384.0,1500,Diesel,Manual,SUV,Quetta,1905000
Suzuki,Alto,2012,201543.0,660,CNG,Manual,Hatchback,Quetta,718000
Suzuki,Jimny,2016,117635.0,1500,Petrol,Manual,SUV,Multan,2242000
Toyota,Hilux,2022,48954.0,2800,Petrol,Automatic,Pickup,Hyderabad,9425000
Hyundai,Sonata,2008,219842.0,2000,Petrol,Manual,Sedan,Faisalabad,2116000
Suzuki,Alto,2018,158646.0,660,CNG,Manual,Hatchback,Islamabad,1139000
Suzuki,Khyber,2013,105519.0,1000,CNG,Automatic,Hatchback,Multan,615000
Hyundai,Tucson,2016,113075.0,2000,Petrol,Automatic,SUV,Quetta,3611000
Honda,Vezel,2019,118499.0,1500,Hybrid,Automatic,Hybrid,Islamabad,2816000
Suzuki,Khyber,2020,70193.0,1000,Petrol,Manual,Hatchback,Karachi,1209000
Suzuki,Mehran,2016,148983.0,800,CNG,Manual,Hatchback,Hyderabad,765000
Toyota,Prado,2008,271043.0,2700,Diesel,Automatic,SUV,Peshawar,5638000
Kia,Picanto,2015,,1000,CNG,Manual,Hatchback,Rawalpindi,1434000
Nissan,Note,2004,281568.0,1200,Petrol,Manual,Hatchback,Sialkot,438000
Toyota,Yaris,2014,179388.0,1300,Petrol,Automatic,Sedan,Lahore,1523000
Hyundai,Santro,2021,32204.0,1000,CNG,Automatic,Hatchback,Sialkot,2099000
Kia,Sorento,2006,283185.0,2500,Diesel,Automatic,SUV,Hyderabad,2013000
Hyundai,Elantra,2019,112763.0,1600,Petrol,Automatic,Sedan,Peshawar,4131000
Kia,Picanto,2012,166129.0,1000,Petrol,Automatic,Hatchback,Islamabad,1005000
Kia,Sportage,2011,205694.0,2000,Petrol,Automatic,SUV,Faisalabad,2103000
Suzuki,Liana,2007,222754.0,1300,Petrol,Manual,Sedan,Karachi,659000
Hyundai,Santro,2019,74291.0,1000,CNG,Manual,Hatchback,Peshawar,1675000
Proton,Saga,2017,114847.0,1300,Petrol,Automatic,Sedan,Peshawar,1674000
Toyota,Aqua,2022,101529.0,1500,Hybrid,Automatic,Hybrid,Islamabad,2625000
Suzuki,Alto,2004,284476.0,660,CNG,Manual,Hatchback,Lahore,400000
Hyundai,Elantra,2007,253762.0,1600,CNG,Automatic,Sedan,Lahore,1367000
Hyundai,Elantra,2005,268740.0,1600,Petrol,Manual,Sedan,Multan,1103000
Toyota,Premio,2006,248739.0,1800,CNG,Automatic,Sedan,Karachi,703000
Suzuki,Margalla,2018,134820.0,1300,CNG,Manual,Sedan,Karachi,1380000
Chery,Tiggo8,2014,154291.0,1600,Diesel,Manual,SUV,Multan,2588000
Toyota,LandCruiser,2016,207547.0,3300,Diesel,Automatic,SUV,Sialkot,16406000
Suzuki,Swift,2024,23389.0,1200,Petrol,Manual,Hatchback,Sialkot,3902000
Suzuki,Cultus,2007,255921.0,1000,CNG,Manual,Hatchback,Rawalpindi,600000
Honda,HRV,2017,107167.0,1500,Petrol,Automatic,SUV,Faisalabad,3660000
Hyundai,Elantra,2009,220985.0,1600,Petrol,Automatic,Sedan,Sialkot,1591000
Honda,BRV,2008,255513.0,1500,Petrol,Automatic,SUV,Rawalpindi,1251000
Suzuki,Margalla,2018,88990.0,1300,Petrol,Manual,Sedan,Karachi,1625000
Suzuki,Cultus,2014,154648.0,1000,Petrol,Manual,Hatchback,Faisalabad,1172000
Toyota,Premio,2012,181414.0,1800,Petrol,Automatic,Sedan,Islamabad,1022000
Hyundai,Elantra,2021,73815.0,1600,CNG,Automatic,Sedan,Karachi,4547000
Toyota,Premio,2015,138766.0,1800,Petrol,Automatic,Sedan,Islamabad,1373000
Suzuki,Alto,2008,177982.0,660,CNG,Manual,Hatchback,Karachi,493000
Suzuki,Cultus,2022,,1000,CNG,Manual,Hatchback,Sialkot,2253000
MG,HS,2015,154971.0,1500,Diesel,Manual,SUV,Quetta,3183000
Suzuki,WagonR,2006,248317.0,1000,Petrol,Automatic,Hatchback,Multan,495000
Proton,X70,2020,111954.0,1500,Diesel,Manual,SUV,Faisalabad,4035000
Toyota,Vitz,2010,211655.0,1000,Petrol,Automatic,Hatchback,Karachi,751000
Honda,City,2004,277993.0,1500,Petrol,Automatic,Sedan,Islamabad,756000
Toyota,LandCruiser,2022,80937.0,3300,Diesel,Automatic,SUV,Quetta,30749000
Suzuki,Bolan,2009,265022.0,800,Petrol,Manual,Van,Faisalabad,415000
Suzuki,Alto,2014,168475.0,660,CNG,Manual,Hatchback,Karachi,796000
Toyota,Fortuner,2004,288535.0,2800,Petrol,Automatic,SUV,Peshawar,2574000
Honda,Accord,2010,216928.0,2400,Petrol,Manual,Sedan,Faisalabad,698000
Suzuki,Liana,2015,164614.0,1300,Petrol,Manual,Sedan,Peshawar,1154000
Honda,HRV,2017,71738.0,1500,Petrol,Automatic,SUV,Hyderabad,4234000
Toyota,Passo,2011,170270.0,1000,CNG,Automatic,Hatchback,Lahore,849000
Chery,Tiggo8,2017,109266.0,1600,Diesel,Manual,SUV,Faisalabad,3746000
Suzuki,Vitara,2024,3000.0,1600,Diesel,Manual,SUV,Hyderabad,6064000
Toyota,LandCruiser,2012,188363.0,3300,Diesel,Automatic,SUV,Hyderabad,11813000
Proton,X70,2016,106461.0,1500,Petrol,Manual,SUV,Sialkot,3338000
Suzuki,Alto,2011,188902.0,660,Petrol,Manual,Hatchback,Lahore,592000
Suzuki,Baleno,2005,244796.0,1300,Petrol,Manual,Hatchback,Faisalabad,484000
Honda,BRV,2018,126445.0,1500,Diesel,Automatic,SUV,Lahore,3190000
Kia,Sportage,2016,97108.0,2000,Diesel,Automatic,SUV,Islamabad,3887000
Nissan,Dayz,2019,102298.0,660,Petrol,Manual,Hatchback,Peshawar,1146000
Hyundai,Sonata,2019,81359.0,2000,CNG,Automatic,Sedan,Islamabad,6156000
Chery,Tiggo4,2012,165221.0,1500,Petrol,Manual,SUV,Faisalabad,1144000
Suzuki,Baleno,2008,236843.0,1300,CNG,Manual,Hatchback,Karachi,511000
Suzuki,Vitara,2013,202409.0,1600,Diesel,Automatic,SUV,Quetta,1790000
Suzuki,Baleno,2011,149107.0,1300,CNG,Manual,Hatchback,Peshawar,771000
Nissan,Dayz,2011,195403.0,660,CNG,Manual,Hatchback,Islamabad,400000
Chery,Tiggo8,2005,302719.0,1600,Diesel,Manual,SUV,Faisalabad,1220000
Honda,HRV,2021,73973.0,1500,Diesel,Automatic,SUV,Rawalpindi,5643000
Honda,Civic,2010,205878.0,1500,Petrol,Automatic,Sedan,Faisalabad,1771000
Kia,Stonic,2020,80439.0,1400,Diesel,Automatic,SUV,Karachi,3424000
Hyundai,Tucson,2010,223168.0,2000,Diesel,Automatic,SUV,Hyderabad,2213000
Suzuki,Liana,2010,220307.0,1300,Petrol,Manual,Sedan,Peshawar,579000
Kia,Sportage,2004,253827.0,2000,Diesel,Automatic,SUV,Lahore,1329000
Suzuki,Ravi,2009,237915.0,800,Diesel,Manual,Pickup,Islamabad,419000
Changan,Alsvin,2016,126557.0,1400,Petrol,Automatic,Sedan,Peshawar,1432000
Honda,Vezel,2024,58426.0,1500,Hybrid,Automatic,Hybrid,Peshawar,4585000
Kia,Stonic,2005,264524.0,1400,Petrol,Manual,SUV,Karachi,747000
Proton,Saga,2018,113092.0,1300,Petrol,Manual,Sedan,Karachi,1395000
Suzuki,Khyber,2018,93708.0,1000,Petrol,Automatic,Hatchback,Quetta,962000
Suzuki,Baleno,2020,72557.0,1300,CNG,Automatic,Hatchback,Multan,1711000
Suzuki,Margalla,2017,133608.0,1300,Petrol,Automatic,Sedan,Multan,1478000
Changan,Oshan,2014,165294.0,1500,Petrol,Manual,SUV,Faisalabad,2332000
Toyota,Aqua,2021,103647.0,1500,Hybrid,Automatic,Hybrid,Islamabad,2808000
Toyota,Fortuner,2009,232153.0,2800,Petrol,Automatic,SUV,Islamabad,3883000
Hyundai,Santro,2022,22403.0,1000,Petrol,Automatic,Hatchback,Multan,2698000
Changan,Alsvin,2019,92105.0,1400,Petrol,Manual,Sedan,Rawalpindi,2071000
Suzuki,Mehran,2024,28134.0,800,Petrol,Manual,Hatchback,Sialkot,1717000
Suzuki,Cultus,2016,100187.0,1000,Petrol,Automatic,Hatchback,Hyderabad,1671000
Suzuki,Cultus,2015,141624.0,1000,Petrol,Manual,Hatchback,Karachi,1235000
Honda,BRV,2004,294044.0,1500,Petrol,Manual,SUV,Islamabad,1017000
Proton,Saga,2019,52015.0,1300,Petrol,Manual,Sedan,Rawalpindi,2266000
Proton,X70,2016,120541.0,1500,Petrol,Automatic,SUV,Faisalabad,3249000
Toyota,Premio,2023,3000.0,1800,CNG,Manual,Sedan,Rawalpindi,3534000
Toyota,Fortuner,2006,309383.0,2800,Diesel,Automatic,SUV,Multan,3106000
MG,ZS,2015,161152.0,1500,Petrol,Manual,SUV,Hyderabad,1988000
Toyota,LandCruiser,2009,189107.0,3300,Petrol,Automatic,SUV,Faisalabad,8870000
Honda,Vezel,2008,241400.0,1500,Hybrid,Automatic,Hybrid,Multan,1297000
Toyota,Fortuner,2020,98555.0,2800,Petrol,Automatic,SUV,Karachi,9925000
Kia,Picanto,2021,56627.0,1000,CNG,Automatic,Hatchback,Multan,2562000
Kia,Sportage,2016,121518.0,2000,Petrol,Automatic,SUV,Rawalpindi,3362000
Suzuki,Baleno,2013,187794.0,1300,CNG,Automatic,Hatchback,Sialkot,930000
Honda,HRV,2013,196114.0,1500,Diesel,Automatic,SUV,Peshawar,2037000
Honda,HRV,2013,183383.0,1500,Diesel,Manual,SUV,Peshawar,2002000
Changan,Oshan,2012,177709.0,1500,Diesel,Automatic,SUV,Islamabad,2061000
Hyundai,Tucson,2019,94256.0,2000,Petrol,Automatic,SUV,Rawalpindi,4700000
Honda,Vezel,2012,198057.0,1500,Hybrid,Automatic,Hybrid,Hyderabad,1372000
MG,HS,2010,160765.0,1500,Petrol,Automatic,SUV,Quetta,2450000
Nissan,Note,2014,139041.0,1200,CNG,Automatic,Hatchback,Peshawar,915000
Suzuki,WagonR,2016,141867.0,1000,CNG,Manual,Hatchback,Islamabad,1331000
Suzuki,Bolan,2007,271888.0,800,CNG,Manual,Van,Faisalabad,400000
Toyota,Vitz,2012,188175.0,1000,Petrol,Manual,Hatchback,Karachi,957000
Suzuki,Bolan,2017,63099.0,800,Petrol,Manual,Van,Peshawar,960000
Toyota,Premio,2007,222157.0,1800,Petrol,Automatic,Sedan,Rawalpindi,696000
Kia,Sorento,2023,60679.0,2500,Petrol,Automatic,SUV,Quetta,9906000
Chery,Tiggo4,2018,68332.0,1500,Diesel,Manual,SUV,Quetta,2487000
Toyota,Hilux,2012,223472.0,2800,Diesel,Automatic,Pickup,Sialkot,2813000
Proton,Saga,2010,197342.0,1300,CNG,Manual,Sedan,Hyderabad,767000
Suzuki,Ravi,2022,99844.0,800,Petrol,Manual,Pickup,Peshawar,1301000
Toyota,Hilux,2023,52564.0,2800,Diesel,Automatic,Pickup,Rawalpindi,9536000
Suzuki,Swift,2021,50139.0,1200,CNG,Manual,Hatchback,Hyderabad,2929000
Toyota,Yaris,2015,171520.0,1300,CNG,Automatic,Sedan,Quetta,1681000
Toyota,Passo,2023,75454.0,1000,Petrol,Automatic,Hatchback,Rawalpindi,2017000
Honda,Civic,2015,186285.0,1500,CNG,Automatic,Sedan,Multan,2564000
Hyundai,Elantra,2007,252430.0,1600,CNG,Manual,Sedan,Faisalabad,1178000
Honda,HRV,2004,301630.0,1500,Diesel,Automatic,SUV,Karachi,1046000
Daihatsu,Cuore,2005,269218.0,850,CNG,Manual,Hatchback,Multan,454000
Toyota,Vitz,2024,13977.0,1000,CNG,Manual,Hatchback,Quetta,3073000
Kia,Stonic,2010,213943.0,1400,Petrol,Manual,SUV,Multan,1227000
Honda,HRV,2022,66519.0,1500,Diesel,Automatic,SUV,Hyderabad,5222000
Kia,Picanto,2016,96491.0,1000,CNG,Automatic,Hatchback,Rawalpindi,1582000
Daihatsu,Mira,2013,170699.0,660,Petrol,Manual,Hatchback,Faisalabad,672000
Hyundai,Elantra,2021,61548.0,1600,CNG,Automatic,Sedan,Karachi,4339000
Chery,Tiggo4,2024,60061.0,1500,Diesel,Manual,SUV,Islamabad,4385000
Nissan,Dayz,2020,70897.0,660,CNG,Manual,Hatchback,Peshawar,1045000
Suzuki,Jimny,2005,322957.0,1500,Diesel,Automatic,SUV,Faisalabad,1063000
Suzuki,WagonR,2019,73311.0,1000,CNG,Manual,Hatchback,Lahore,1819000
Nissan,Dayz,2019,42531.0,660,Petrol,Manual,Hatchback,Peshawar,1338000
Suzuki,Jimny,2008,222611.0,1500,Petrol,Automatic,SUV,Faisalabad,1242000
Proton,X70,2023,6455.0,1500,Petrol,Automatic,SUV,Sialkot,7595000
Suzuki,WagonR,2010,191587.0,1000,Petrol,Automatic,Hatchback,Sialkot,779000
Honda,Accord,2022,74897.0,2400,Petrol,Automatic,Sedan,Hyderabad,2282000
Suzuki,Margalla,2005,291871.0,1300,Petrol,Manual,Sedan,Faisalabad,530000
Toyota,Hilux,2010,222082.0,2800,Diesel,Automatic,Pickup,Lahore,2757000
Suzuki,Bolan,2013,160601.0,800,Petrol,Manual,Van,Quetta,583000
Kia,Sorento,2010,188860.0,2500,Diesel,Automatic,SUV,Quetta,3279000
Suzuki,Alto,2020,97046.0,660,Petrol,Manual,Hatchback,Peshawar,1480000
Toyota,Prado,2006,273633.0,2700,Petrol,Automatic,SUV,Quetta,4523000
Suzuki,Swift,2017,91412.0,1200,Petrol,Automatic,Hatchback,Quetta,2347000
Honda,Accord,2018,89658.0,2400,Petrol,Manual,Sedan,Lahore,1777000
Suzuki,Swift,2012,167176.0,1200,Petrol,Manual,Hatchback,Faisalabad,1178000
Toyota,Aqua,2018,118242.0,1500,Hybrid,Automatic,Hybrid,Rawalpindi,2072000
Daihatsu,Cuore,2015,167654.0,850,Petrol,Manual,Hatchback,Multan,626000
Toyota,Aqua,2008,256192.0,1500,Hybrid,Automatic,Hybrid,Lahore,951000
Suzuki,Vitara,2009,183312.0,1600,Petrol,Manual,SUV,Rawalpindi,1259000
Toyota,Prado,2010,219721.0,2700,Diesel,Automatic,SUV,Multan,4752000
Honda,City,2013,201738.0,1500,CNG,Manual,Sedan,Rawalpindi,1388000
Suzuki,Cultus,2016,100073.0,1000,CNG,Automatic,Hatchback,Lahore,1663000
Suzuki,Bolan,2014,151469.0,800,Petrol,Manual,Van,Rawalpindi,666000
Suzuki,Khyber,2008,272797.0,1000,CNG,Manual,Hatchback,Quetta,400000
Toyota,Passo,2004,235802.0,1000,CNG,Manual,Hatchback,Multan,425000
Toyota,LandCruiser,2012,174130.0,3300,Petrol,Automatic,SUV,Sialkot,10979000
Changan,Alsvin,2014,138696.0,1400,CNG,Automatic,Sedan,Karachi,1469000
Suzuki,Margalla,2007,250308.0,1300,Petrol,Manual,Sedan,Rawalpindi,624000
Changan,Alsvin,2012,188240.0,1400,CNG,Manual,Sedan,Quetta,1093000
Kia,Sportage,2004,284323.0,2000,Petrol,Automatic,SUV,Sialkot,1359000
Suzuki,WagonR,2005,294476.0,1000,CNG,Manual,Hatchback,Faisalabad,522000
Suzuki,Khyber,2006,253793.0,1000,CNG,Manual,Hatchback,Hyderabad,400000
Toyota,LandCruiser,2012,190800.0,3300,Diesel,Automatic,SUV,Peshawar,12726000
Toyota,Hilux,2007,264541.0,2800,Petrol,Automatic,Pickup,Karachi,2003000
Suzuki,Jimny,2022,3000.0,1500,Diesel,Manual,SUV,Sialkot,5444000
Suzuki,Liana,2020,102890.0,1300,CNG,Manual,Sedan,Faisalabad,1550000
Suzuki,Bolan,2019,87313.0,800,Petrol,Manual,Van,Karachi,1045000
Chery,Tiggo8,2012,177125.0,1600,Diesel,Manual,SUV,Rawalpindi,2347000
Hyundai,Elantra,2015,185969.0,1600,Petrol,Manual,Sedan,Quetta,1887000
Kia,Stonic,2014,180572.0,1400,Diesel,Automatic,SUV,Sialkot,1820000
Proton,Saga,2008,189575.0,1300,Petrol,Manual,Sedan,Peshawar,696000
Chery,Tiggo4,2009,249381.0,1500,Diesel,Manual,SUV,Quetta,882000
Toyota,LandCruiser,2009,219007.0,3300,Diesel,Automatic,SUV,Rawalpindi,8946000
Toyota,Aqua,2011,206734.0,1500,Hybrid,Automatic,Hybrid,Peshawar,1112000
Suzuki,Baleno,2006,303019.0,1300,CNG,Automatic,Hatchback,Quetta,493000
Suzuki,Cultus,2008,244961.0,1000,Petrol,Manual,Hatchback,Peshawar,685000
Suzuki,WagonR,2020,91644.0,1000,CNG,Automatic,Hatchback,Sialkot,2043000
Nissan,Note,2023,33660.0,1200,CNG,Automatic,Hatchback,Hyderabad,1669000
Daihatsu,Cuore,2019,76509.0,850,Petrol,Manual,Hatchback,Quetta,1450000
